Main_Site_ID,Program,Program_Code,Hospital_Type,Survey_Event_Type,Survey_Begin_Date,Survey_End_Date,Survey_Decision,System_Affiliation,Count_NonCompliant_Standards,Count_NonCompliant_EPs,Total_Surveyor_Days,Number_of_Surveyors,Number_of_Surveyor_Class_Types,Survey_Event_ID,Survey_Event_Program_ID
214913,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/3/15,8/7/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,18,29,16,6,5,39699396,39699395
18429,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/3/15,8/6/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,16,23,10,3,3,39868607,39868606
18434,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/1/16,3/4/16,Pending                                                                                                                                                                                                                                                        ,1,7,7,16,6,6,40064073,40064072
214914,Hospital Accreditation Program,HAP     , Teaching,Unannounced Full Event                  ,10/24/17,10/27/17,Pending                                                                                                                                                                                                                                                        ,0,31,55,29,8,7,41447643,41447642
214915,Hospital Accreditation Program,HAP     , General,Initial Unannounced Full Event          ,12/6/16,12/9/16,Pending                                                                                                                                                                                                                                                        ,1,16,18,13,4,5,41035996,41035995
214916,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/13/17,6/16/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,0,39,50,16,6,6,41292320,41292319
214920,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/27/15,5/28/15,Pending                                                                                                                                                                                                                                                        ,0,5,7,6,3,3,39747912,39747911
411193,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/25/17,7/28/17,Pending                                                                                                                                                                                                                                                        ,0,27,37,13,5,4,41250211,41250210
#N/A,Hospital Accreditation Program,HAP     ,None,Unannounced Full Event                  ,4/7/15,4/9/15,Pending                                                                                                                                                                                                                                                        ,1,4,4,12,5,6,39401765,39401764
214925,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/2/15,3/5/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,11,13,14,4,4,39515884,39515883
214925,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/7/17,11/10/17,Pending                                                                                                                                                                                                                                                        ,0,32,43,14,4,4,41749716,41749715
521530,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/10/16,5/13/16,Pending                                                                                                                                                                                                                                                        ,1,20,31,18,5,6,40146085,40146084
214928,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/5/15,5/7/15,Pending                                                                                                                                                                                                                                                        ,1,10,10,8,3,3,39392461,39392460
214929,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/30/16,9/1/16,Pending                                                                                                                                                                                                                                                        ,1,13,15,8,3,3,40512342,40512341
18747,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/20/15,7/24/15,Pending                                                                                                                                                                                                                                                        ,1,9,10,8,3,3,39982777,39982776
523423,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/26/15,4/9/15,Pending                                                                                                                                                                                                                                                        ,0,14,15,6,3,3,39868382,39868381
523423,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/21/17,12/22/17,Pending                                                                                                                                                                                                                                                        ,0,16,22,6,3,3,41837188,41837187
513041,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,9/1/15,9/4/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,12,14,17,5,5,39892398,39892397
214943,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,9/14/15,9/16/15,Pending                                                                                                                                                                                                                                                        ,1,18,21,8,3,3,39681661,39681660
214945,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/17/15,11/20/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,19,25,13,4,5,39883584,39883583
214947,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/14/15,5/15/15,Pending                                                                                                                                                                                                                                                        ,1,10,13,10,5,4,39524421,39524420
214949,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/17/15,11/20/15,Pending                                                                                                                                                                                                                                                        ,0,7,8,6,2,2,39929891,39929890
214953,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/4/15,5/8/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,16,22,15,5,5,39491312,39491311
586602,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,10/26/15,10/30/15,Pending                                                                                                                                                                                                                                                        ,1,22,23,16,4,5,39799005,39799004
285904,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/15/15,6/19/15,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,25,27,28,7,6,39539875,39539874
214961,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/13/15,4/17/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,18,21,15,4,5,39518534,39518533
214961,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/12/17,12/15/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,33,43,13,4,5,41644336,41644335
214962,Hospital Accreditation Program,HAP     , Long Term Acute Care,Unannounced Full Event                  ,8/7/17,8/9/17,Pending                                                                                                                                                                                                                                                        ,1,17,25,11,4,4,41325508,41325507
214964,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/26/16,1/28/16,Pending                                                                                                                                                                                                                                                        ,1,13,16,8,3,3,40049767,40049766
214965,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/17/15,2/20/15,Pending                                                                                                                                                                                                                                                        ,1,17,21,14,5,4,39403106,39403105
18050,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/12/17,6/15/17,Pending                                                                                                                                                                                                                                                        ,1,24,35,15,5,5,41177151,41177150
18109,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/9/15,3/12/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,15,17,13,5,4,39512930,39512929
467303,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/16/15,4/17/15,Pending                                                                                                                                                                                                                                                        ,1,3,3,6,3,3,39335268,39335267
467303,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/7/17,11/8/17,Pending                                                                                                                                                                                                                                                        ,1,14,16,6,3,3,41613443,41613442
214968,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/9/15,6/12/15,Pending                                                                                                                                                                                                                                                        ,1,11,12,15,5,6,39511671,39511670
214969,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/14/16,6/17/16,Pending                                                                                                                                                                                                                                                        ,1,6,8,15,5,6,40266662,40266661
323377,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/9/16,8/12/16,Pending                                                                                                                                                                                                                                                        ,0,12,15,13,5,5,40402816,40402815
469962,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/9/15,3/11/15,Pending                                                                                                                                                                                                                                                        ,1,16,21,8,3,3,39383882,39383881
214974,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,11/8/16,11/10/16,Pending                                                                                                                                                                                                                                                        ,0,19,22,5,2,2,40567009,40567008
20299,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/24/15,8/28/15,Pending                                                                                                                                                                                                                                                        ,1,13,15,19,5,5,39756288,39756287
214977,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/8/15,12/11/15,Pending                                                                                                                                                                                                                                                        ,0,23,26,9,3,4,39982568,39982567
214980,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/11/16,1/12/16,Pending                                                                                                                                                                                                                                                        ,0,18,22,6,3,3,39985473,39985472
214984,Hospital Accreditation Program,HAP     , Long Term Acute Care,Unannounced Full Event                  ,3/8/16,3/11/16,Pending                                                                                                                                                                                                                                                        ,0,7,7,6,2,2,40197144,40197143
214986,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/19/17,7/21/17,Pending                                                                                                                                                                                                                                                        ,1,20,27,11,4,3,41192989,41192988
25524,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/2/15,12/4/15,Pending                                                                                                                                                                                                                                                        ,0,12,14,5,2,2,39974506,39974505
558260,Hospital Accreditation Program,HAP     , Academic,Unannounced Full Event                  ,7/7/15,7/17/15,Pending                                                                                                                                                                                                                                                        ,1,22,28,31,7,6,39595771,39595770
214990,Hospital Accreditation Program,HAP     , Teaching,Unannounced Full Event                  ,8/4/15,8/7/15,Pending                                                                                                                                                                                                                                                        ,1,12,14,23,7,7,39763172,39763171
214995,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/15/16,8/17/16,Pending                                                                                                                                                                                                                                                        ,1,17,24,11,4,5,40434030,40434029
215001,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/2/15,11/6/15,Pending                                                                                                                                                                                                                                                        ,0,17,19,22,6,6,39940905,39940904
215002,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/7/15,7/10/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,21,27,12,5,5,39557473,39557472
273318,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/30/15,5/1/15,Pending                                                                                                                                                                                                                                                        ,1,7,8,8,4,3,39462496,39462495
417167,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/24/17,4/28/17,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,35,58,33,9,6,41176894,41176893
521535,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/7/15,12/9/15,Pending                                                                                                                                                                                                                                                        ,0,15,17,8,3,3,39975411,39975410
215009,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/27/17,6/30/17,Pending                                                                                                                                                                                                                                                        ,0,23,34,11,4,5,41244329,41244328
18736,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,10/14/15,10/15/15,Pending                                                                                                                                                                                                                                                        ,0,9,10,6,3,3,39887655,39887654
215014,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/10/15,11/13/15,Pending                                                                                                                                                                                                                                                        ,0,28,39,23,7,6,39929349,39929348
215015,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,9/26/17,9/29/17,Pending                                                                                                                                                                                                                                                        ,1,16,26,10,3,3,41346899,41346898
16992,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/12/15,3/13/15,Pending                                                                                                                                                                                                                                                        ,0,24,25,6,3,3,39598458,39598457
215016,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/6/17,6/9/17,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,31,48,13,4,5,41148110,41148109
17080,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/20/17,6/23/17,Pending                                                                                                                                                                                                                                                        ,1,32,46,18,5,5,41148158,41148157
307882,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/31/17,2/3/17,Pending                                                                                                                                                                                                                                                        ,1,16,23,10,3,3,41114625,41114624
521536,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/1/16,3/4/16,Pending                                                                                                                                                                                                                                                        ,1,26,32,17,6,5,40145524,40145523
17164,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/18/17,7/21/17,Pending                                                                                                                                                                                                                                                        ,0,29,40,19,6,6,41343559,41343558
215025,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/1/16,6/2/16,Pending                                                                                                                                                                                                                                                        ,0,13,15,6,3,3,40421686,40421685
523371,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/12/16,1/15/16,Pending                                                                                                                                                                                                                                                        ,1,21,23,15,5,5,39974568,39974567
215028,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/21/16,3/23/16,Pending                                                                                                                                                                                                                                                        ,0,6,7,8,3,3,40145601,40145600
17274,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/25/16,1/29/16,Pending                                                                                                                                                                                                                                                        ,1,17,22,12,3,5,40366088,40366087
17259,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/18/16,2/19/16,Pending                                                                                                                                                                                                                                                        ,0,12,17,6,3,3,39978103,39978102
17263,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/5/15,5/8/15,Pending                                                                                                                                                                                                                                                        ,1,23,27,17,5,5,39479620,39479619
215530,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,5/24/16,5/26/16,Pending                                                                                                                                                                                                                                                        ,0,21,29,5,2,3,40258385,40258384
215533,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/3/17,4/5/17,Pending                                                                                                                                                                                                                                                        ,0,24,28,8,3,3,40932093,40932092
215534,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/14/17,3/17/17,Pending                                                                                                                                                                                                                                                        ,0,18,23,15,4,5,40929129,40929130
215536,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/3/17,4/7/17,Pending                                                                                                                                                                                                                                                        ,1,27,42,29,7,6,41033692,41033691
215538,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/6/17,3/8/17,Pending                                                                                                                                                                                                                                                        ,1,9,13,7,3,4,40868634,40868633
215542,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/14/17,3/17/17,Pending                                                                                                                                                                                                                                                        ,0,23,31,18,5,5,40706116,40706115
215543,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/21/17,2/24/17,Pending                                                                                                                                                                                                                                                        ,1,20,26,18,6,5,40875334,40875333
215544,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/21/17,3/24/17,Pending                                                                                                                                                                                                                                                        ,0,38,57,18,6,6,40879580,40879581
215545,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/7/15,7/10/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,38,63,18,6,7,39822692,39822691
215554,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/15/16,11/18/16,Pending                                                                                                                                                                                                                                                        ,0,21,26,17,5,5,40624173,40624172
215556,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/13/16,12/16/16,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,0,28,39,17,5,5,40688644,40688643
215560,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/8/17,6/9/17,Pending                                                                                                                                                                                                                                                        ,1,18,20,6,3,3,41177074,41177073
24778,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/11/15,5/15/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,16,27,12,3,5,39488621,39488620
215562,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/14/17,2/17/17,Pending                                                                                                                                                                                                                                                        ,0,19,26,23,7,7,40818507,40818506
215563,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,10/14/15,10/16/15,Pending                                                                                                                                                                                                                                                        ,0,11,11,8,3,3,39877298,39877297
215564,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/21/15,4/24/15,Pending                                                                                                                                                                                                                                                        ,0,10,11,12,5,5,39636129,39636128
241472,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/14/16,11/15/16,Pending                                                                                                                                                                                                                                                        ,0,13,18,6,3,3,40607587,40607586
387265,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/13/16,6/16/16,Pending                                                                                                                                                                                                                                                        ,1,18,20,24,8,7,40257741,40257740
215574,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,10/16/17,10/20/17,Pending                                                                                                                                                                                                                                                        ,1,33,48,24,6,5,41393624,41393623
215576,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/14/17,11/17/17,Pending                                                                                                                                                                                                                                                        ,1,22,38,9,3,4,41736773,41736772
215576,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/7/15,4/10/15,Pending                                                                                                                                                                                                                                                        ,1,18,22,11,4,4,39620456,39620455
18531,Critical Access Hospital Accreditation Program,CAH     , Acute Care,Unannounced Full Event                  ,7/13/15,7/15/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,11,14,5,2,3,39714013,39714012
215579,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/1/17,5/5/17,Pending                                                                                                                                                                                                                                                        ,1,22,28,13,4,6,41006919,41006918
426661,Hospital Accreditation Program,HAP     , Teaching,Unannounced Full Event                  ,4/18/17,4/21/17,Pending                                                                                                                                                                                                                                                        ,1,18,24,20,6,6,41058678,41058677
215584,Hospital Accreditation Program,HAP     , Children's,Unannounced Full Event                  ,5/8/17,5/12/17,Pending                                                                                                                                                                                                                                                        ,1,32,44,15,4,5,41148012,41148011
215585,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/5/16,12/9/16,Pending                                                                                                                                                                                                                                                        ,1,28,33,24,6,6,40654747,40654746
356422,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/2/17,5/5/17,Pending                                                                                                                                                                                                                                                        ,1,28,44,17,5,5,41148069,41148068
215588,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/25/17,7/28/17,Pending                                                                                                                                                                                                                                                        ,1,33,53,23,6,5,41495739,41495738
19425,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/27/17,3/31/17,Pending                                                                                                                                                                                                                                                        ,1,37,46,38,9,7,41132039,41132038
215597,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/14/17,3/17/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,36,50,18,5,5,41003504,41003503
215600,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/27/17,3/31/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,48,68,29,7,6,40947569,40947568
530514,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/1/16,2/3/16,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,20,27,5,2,2,39975427,39975426
215606,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,2/9/16,2/11/16,Pending                                                                                                                                                                                                                                                        ,1,9,11,5,2,3,40053875,40053874
17400,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,5/26/15,5/28/15,Pending                                                                                                                                                                                                                                                        ,1,11,12,5,2,3,39387332,39387331
215611,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/8/16,8/12/16,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,32,43,23,7,5,40353158,40353157
380143,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/2/15,6/5/15,Pending                                                                                                                                                                                                                                                        ,0,13,14,14,4,4,39667368,39667367
225313,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/27/16,7/1/16,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,29,36,35,9,6,40297607,40297606
17718,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/7/16,11/11/16,Pending                                                                                                                                                                                                                                                        ,1,25,28,10,3,5,40568591,40568590
215626,Critical Access Hospital Accreditation Program,CAH     , Acute Care,Unannounced Full Event                  ,10/5/15,10/7/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,9,11,5,2,3,39738404,39738403
215627,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,10/6/15,10/9/15,Pending                                                                                                                                                                                                                                                        ,0,16,22,5,3,3,40100562,40100561
215630,Hospital Accreditation Program,HAP     , Teaching,Unannounced Full Event                  ,3/13/17,3/17/17,Pending                                                                                                                                                                                                                                                        ,1,28,43,30,8,6,40888219,40888218
215632,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/21/16,6/24/16,Pending                                                                                                                                                                                                                                                        ,1,9,11,29,8,6,40321225,40321224
441976,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,11/28/16,12/2/16,Pending                                                                                                                                                                                                                                                        ,0,20,27,28,9,6,40978998,40978997
